id,theme,es,sentence,nl,en,sk,native_ok,notes
tortuga,animals,tortuga,La tortuga camina.,schildpad,turtle,korytnačka,,
mariposa,animals,mariposa,La mariposa vuela.,vlinder,butterfly,motýľ,,
abeja,animals,abeja,La abeja vuela.,bij,bee,včela,,
rana,animals,rana,La rana salta.,kikker,frog,žaba,,
rojo,colors,rojo,El globo es rojo.,rood,red,červená,,
azul,colors,azul,El mar es azul.,blauw,blue,modrá,,
verde,colors,verde,La rana es verde.,groen,green,zelená,,
amarillo,colors,amarillo,El sol es amarillo.,geel,yellow,žltá,,
negro,colors,negro,El gato es negro.,zwart,black,čierna,,
blanco,colors,blanco,La nube es blanca.,wit,white,biela,,
rosa,colors,rosa,La flor es rosa.,roze,pink,ružová,,
morado,colors,morado,El lápiz es morado.,paars,purple,fialová,,
naranja_color,colors,naranja,La pelota es naranja.,oranje,orange,oranžová,,
gris,colors,gris,El elefante es gris.,grijs,grey,sivá,,
uno,numbers,uno,"Uno, por favor.",één,one,jeden,,
dos,numbers,dos,"Dos, por favor.",twee,two,dva,,
tres,numbers,tres,"Tres, por favor.",drie,three,tri,,
cuatro,numbers,cuatro,"Cuatro, por favor.",vier,four,štyri,,
cinco,numbers,cinco,"Cinco, por favor.",vijf,five,päť,,
seis,numbers,seis,"Seis, por favor.",zes,six,šesť,,
siete,numbers,siete,"Siete, por favor.",zeven,seven,sedem,,
ocho,numbers,ocho,"Ocho, por favor.",acht,eight,osem,,
nueve,numbers,nueve,"Nueve, por favor.",negen,nine,deväť,,
diez,numbers,diez,"Diez, por favor.",tien,ten,desať,,
mama,family,mamá,Mamá está aquí.,mama,mum,mama,,
papa,family,papá,Papá está aquí.,papa,dad,otec,,
hermano,family,hermano,Mi hermano juega.,broer,brother,brat,,
hermana,family,hermana,Mi hermana canta.,zus,sister,sestra,,
amigo,family,amigo,"Hola, amigo.",vriend,friend,kamarát,,
amiga,family,amiga,"Hola, amiga.",vriendin,friend,kamarátka,,
familia,family,familia,Mi familia.,familie,family,rodina,,
nino,family,niño,El niño juega.,jongen,boy,chlapec,,
nina,family,niña,La niña juega.,meisje,girl,dievča,,
bebe,family,bebé,El bebé duerme.,baby,baby,bábätko,,
libro,school,libro,Tengo un libro.,boek,book,kniha,,
lapiz,school,lápiz,Tengo un lápiz.,potlood,pencil,ceruzka,,
mochila,school,mochila,Mi mochila.,rugzak,backpack,batoh,,
clase,school,clase,Voy a clase.,klas,class,trieda,,
mesa,school,mesa,La mesa es grande.,tafel,table,stôl,,
silla,school,silla,La silla es roja.,stoel,chair,stolička,,
profesor,school,profesor,El profesor habla.,leraar,teacher,učiteľ,,
profesora,school,profesora,La profesora habla.,lerares,teacher,učiteľka,,
papel,school,papel,Tengo papel.,papier,paper,papier,,
tijeras,school,tijeras,Las tijeras cortan.,schaar,scissors,nožnice,,
jugar,actions,jugar,Quiero jugar.,spelen,to play,hrať sa,,
correr,actions,correr,Me gusta correr.,rennen,to run,bežať,,
saltar,actions,saltar,Quiero saltar.,springen,to jump,skákať,,
bailar,actions,bailar,Me gusta bailar.,dansen,to dance,tancovať,,
cantar,actions,cantar,Me gusta cantar.,zingen,to sing,spievať,,
leer,actions,leer,Quiero leer.,lezen,to read,čítať,,
dibujar,actions,dibujar,Quiero dibujar.,tekenen,to draw,kresliť,,
dormir,actions,dormir,Quiero dormir.,slapen,to sleep,spať,,
comer,actions,comer,Quiero comer.,eten,to eat,jesť,,
beber,actions,beber,Quiero beber.,drinken,to drink,piť,,
feliz,feelings,feliz,Estoy feliz.,blij,happy,šťastný / šťastná,,
triste,feelings,triste,Estoy triste.,verdrietig,sad,smutný / smutná,,
cansado,feelings,cansado,Estoy cansado.,moe,tired,unavený / unavená,,
bien,feelings,bien,Estoy bien.,goed,well / fine,dobre,,
mal,feelings,mal,Estoy mal.,slecht,bad / unwell,zle,,
contento,feelings,contento,Estoy contento.,tevreden / blij,glad,spokojný / spokojná,,
tranquilo,feelings,tranquilo,Estoy tranquilo.,rustig,calm,pokojný / pokojná,,
asustado,feelings,asustado,Estoy asustado.,bang,scared,vystrašený / vystrašená,,
calor,feelings,calor,Tengo calor.,warmte / warm,heat / hot,teplo,,
frio,feelings,frío,Tengo frío.,kou / koud,cold,zima,,
cabeza,body,cabeza,Mi cabeza.,hoofd,head,hlava,,
mano,body,mano,Mi mano.,hand,hand,ruka,,
pie,body,pie,Mi pie.,voet,foot,noha / chodidlo,,
ojo,body,ojo,Mi ojo.,oog,eye,oko,,
oreja,body,oreja,Mi oreja.,oor,ear,ucho,,
nariz,body,nariz,Mi nariz.,neus,nose,nos,,
boca,body,boca,Mi boca.,mond,mouth,ústa,,
diente,body,diente,Mi diente.,tand,tooth,zub,,
brazo,body,brazo,Mi brazo.,arm,arm,rameno,,
pierna,body,pierna,Mi pierna.,been,leg,noha,,
sol,weather,sol,Hace sol.,zon,sun,slnko,,
lluvia,weather,lluvia,Hay lluvia.,regen,rain,dážď,,
nube,weather,nube,Una nube blanca.,wolk,cloud,oblak,,
viento,weather,viento,Hay viento.,wind,wind,vietor,,
nieve,weather,nieve,Hay nieve.,sneeuw,snow,sneh,,
caliente,weather,caliente,Está caliente.,warm,hot,horúci / horúca,,
frio_tiempo,weather,frío,Está frío.,koud,cold,studený / studená,,
arcoiris,weather,arcoíris,Veo un arcoíris.,regenboog,rainbow,dúha,,
cielo,weather,cielo,El cielo es azul.,lucht,sky,obloha,,
luna,weather,luna,La luna brilla.,maan,moon,mesiac,,
playa,travel,playa,Voy a la playa.,strand,beach,pláž,,
tren,travel,tren,Voy en tren.,trein,train,vlak,,
hotel,travel,hotel,Voy al hotel.,hotel,hotel,hotel,,
mapa,travel,mapa,Tengo un mapa.,kaart,map,mapa,,
maleta,travel,maleta,Mi maleta.,koffer,suitcase,kufor,,
avion,travel,avión,Voy en avión.,vliegtuig,plane,lietadlo,,
autobus,travel,autobús,Voy en autobús.,bus,bus,autobus,,
taxi,travel,taxi,Voy en taxi.,taxi,taxi,taxík,,
billete,travel,billete,Tengo un billete.,ticket,ticket,lístok,,
estacion,travel,estación,La estación está aquí.,station,station,stanica,,
casa,home,casa,Mi casa.,huis,house,dom,,
habitacion,home,habitación,Mi habitación.,kamer,room,izba,,
cama,home,cama,La cama es cómoda.,bed,bed,posteľ,,
puerta,home,puerta,La puerta está abierta.,deur,door,dvere,,
ventana,home,ventana,La ventana está abierta.,raam,window,okno,,
jardin,home,jardín,El jardín es verde.,tuin,garden,záhrada,,
bano,home,baño,Voy al baño.,badkamer,bathroom,kúpeľňa,,
cocina,home,cocina,La cocina está aquí.,keuken,kitchen,kuchyňa,,
sillon,home,sillón,El sillón es cómodo.,zetel,armchair,kreslo,,
lampara,home,lámpara,La lámpara brilla.,lamp,lamp,lampa,,
ch_quiero_agua,food,Quiero agua.,,Ik wil water.,I want water.,Chcem vodu.,,chunk/zin
ch_quiero_helado,food,Quiero un helado.,,Ik wil een ijsje.,I want an ice cream.,Chcem zmrzlinu.,,chunk/zin
ch_por_favor,hello,Por favor.,,Alsjeblieft.,Please.,Prosím.,,chunk/zin
ch_gracias_lola,hello,"Gracias, Lola.",,"Bedankt, Lola.","Thank you, Lola.","Ďakujem, Lola.",,chunk/zin
ch_buenos_dias,hello,Buenos días.,,Goedemorgen.,Good morning.,Dobré ráno.,,chunk/zin
ch_hola_amigo,family,"Hola, amigo.",,"Hallo, vriend.","Hello, friend.","Ahoj, kamarát.",,chunk/zin
ch_mi_familia,family,Mi familia.,,Mijn familie.,My family.,Moja rodina.,,chunk/zin
ch_estoy_feliz,feelings,Estoy feliz.,,Ik ben blij.,I am happy.,Som šťastný/šťastná.,,chunk/zin
ch_tengo_frio,feelings,Tengo frío.,,Ik heb het koud.,I am cold.,Je mi zima.,,chunk/zin
ch_tengo_calor,feelings,Tengo calor.,,Ik heb het warm.,I am hot.,Je mi teplo.,,chunk/zin
ch_me_gusta_cantar,actions,Me gusta cantar.,,Ik zing graag.,I like singing.,Rád/rada spievam.,,chunk/zin
ch_quiero_jugar,actions,Quiero jugar.,,Ik wil spelen.,I want to play.,Chcem sa hrať.,,chunk/zin
ch_tengo_un_libro,school,Tengo un libro.,,Ik heb een boek.,I have a book.,Mám knihu.,,chunk/zin
ch_voy_a_clase,school,Voy a clase.,,Ik ga naar de klas.,I go to class.,Idem do triedy.,,chunk/zin
ch_el_perro_corre,animals,El perro corre.,,De hond rent.,The dog runs.,Pes beží.,,chunk/zin
ch_el_gato_duerme,animals,El gato duerme.,,De kat slaapt.,The cat sleeps.,Mačka spí.,,chunk/zin
ch_el_sol_es_amarillo,colors,El sol es amarillo.,,De zon is geel.,The sun is yellow.,Slnko je žlté.,,chunk/zin
ch_el_mar_es_azul,colors,El mar es azul.,,De zee is blauw.,The sea is blue.,More je modré.,,chunk/zin
ch_uno_por_favor,numbers,"Uno, por favor.",,"Eén, alsjeblieft.","One, please.","Jeden, prosím.",,chunk/zin
ch_tres_por_favor,numbers,"Tres, por favor.",,"Drie, alsjeblieft.","Three, please.","Tri, prosím.",,chunk/zin
ch_mi_mano,body,Mi mano.,,Mijn hand.,My hand.,Moja ruka.,,chunk/zin
ch_mi_cabeza,body,Mi cabeza.,,Mijn hoofd.,My head.,Moja hlava.,,chunk/zin
ch_hace_sol,weather,Hace sol.,,De zon schijnt.,It is sunny.,Svieti slnko.,,chunk/zin
ch_hay_lluvia,weather,Hay lluvia.,,Er is regen.,There is rain.,Prší.,,chunk/zin
ch_voy_a_la_playa,travel,Voy a la playa.,,Ik ga naar het strand.,I go to the beach.,Idem na pláž.,,chunk/zin
ch_voy_en_tren,travel,Voy en tren.,,Ik ga met de trein.,I go by train.,Idem vlakom.,,chunk/zin
ch_mi_casa,home,Mi casa.,,Mijn huis.,My house.,Môj dom.,,chunk/zin
ch_la_puerta_abierta,home,La puerta está abierta.,,De deur is open.,The door is open.,Dvere sú otvorené.,,chunk/zin
